text,sarcasm,sentiment
dr goldberg offers everything look general practitioner hes nice easy talk without patronizing hes always time seeing patients hes affiliated topnotch hospital parents explained important case something happens need surgery get referrals see specialists without see first really need im sitting trying think complaints im really drawing blank,non-sarcastic,very positive
unfortunately frustration dr goldbergs patient repeat experience ive many doctors nyc good doctor terrible staff seems staff simply never answers phone usually takes hours repeated calling get answer time wants deal run problem many doctors dont get office workers patients medical needs isnt anyone answering phone incomprehensible not work aggravation regret feel give dr goldberg stars,non-sarcastic,negative
going dr goldberg years think one st patients started hes great years really big picture not former gyn dr found fibroids explores options patient understanding doesnt judge asks right questions thorough wants kept loop every aspect medical health life,sarcastic,positive
got letter mail last week said dr goldberg moving arizona take new position june missed much nni think finding new doctor nyc actually like might almost awful trying find date,non-sarcastic,positive
dont know dr goldberg like moving arizona let tell stay away doctor office going dr johnson left goldberg took johnson left not caring doctor interested copay come medication refills every month not give refills could less financial situations trying get days mail away pharmacy prescriptions guy joke make matters even worse office staff incompetent time call office theyll put voice mail no one ever answers returns call adult children husband decided leave practice experiencing frustration entire office attitude like favor give break stay away doc practice deserve better not really need never felt compelled write bad review anyone met pathetic excuse doctor money,sarcastic,very negative
top notch doctor top notch practice cant say surprised referred another doctor think wonderful went one best medical schools country nit really easy get appointment minimal wait seen bedside manner great,sarcastic,very positive
dr eric goldberg fantastic doctor correctly diagnosed every issue wife unlike many past doctors dr goldberg accessible able schedule appointments staff quickly happy neighborhood look forward patients many years come,non-sarcastic,very positive
im writing review give heads see doctor office staff administration unprofessional left message multiple people regarding bill no one ever called back hound get answer bill nnsecond important make sure insurance going cover dr goldbergs visits blood work recommended get physical knew student told got physical done later found health insurance doesnt pay preventative visits received bill blood work cant pay bill im student dont cash flow current time cant believe doctor wouldnt give heads make sure insurance would cover work wasnt necessary strictly preventative office cant anything help cover bill addition office staff said onus make sure insurance covers visits frustrating situation,non-sarcastic,very negative
wing sauce like water pretty much lot butter hot sauce franks red hot maybe whole wings good size crispy wing sauce could better hot extra hot fish sandwich good large portion sides decent,non-sarcastic,negative
decent range somewhat close city mats pretty solid however grass range needs tended like hitting us open type amenable practicing kind defeats purpose going golf gets stars range lit night excellent us addicted amazing game somewhat short time job kinda sucks sometimes no,non-sarcastic,neutral
owning driving range inside city limits like license print money dont think ask much driving range decent mats clean balls accessible hours hell need even less people advent machine doles balls place none april no grass tees yet btw opened season week although golfing weather month mats look like carpet year old aunt irenes house worn thread bare lets talk hours place equipped lights yet sell buckets balls still light finally lets pit hit arrived wasnt sure driving range site strip mining operation no grass range mud makes good tool figure far actually hitting ball oh cash line place sucks best hope owner sells someone actually wants make money service golfers pittsburgh,sarcastic,very negative
place absolute garbage half tees not available including grass tees cash sell last bucket despite lights finish even minute dont plan getting drink vending machines sold course sell drinks inside close drawers dot weeds grown place noticed sort batting cage looks like order well someone buy place turn,non-sarcastic,very negative
drove yesterday get sneak peak reopens july th cant wait take kids new range looks amazing entire range appears turf may many not help game looks really nice tee boxes look state art club house looks like something youll see newer course cant wait experience,non-sarcastic,positive
waiting almost minutes trade old phone part buy back program customer service rep incorrectly processed transaction led us waiting another minutes correct dont visit store want pleasant good service,non-sarcastic,negative
place delicious parents saw recommendation visit place rick things like pittsburgh hes usually pretty accurate recommendations try reuben fish sandwich openfaced steak sandwich went early afternoon late lunch today saturday seated right away staff extremely friendly mom fish sandwich dad brother reuben sandwich fish good reuben die dishes massive could easily shared two people top extremely large portions incredibly affordable giant fish sandwich giant reuben drinks always filled checked several times meal definitely back oh bit advice ahead time take cash come prepared im pretty sure saw atm well believe closed sundays mondays,sarcastic,very positive
cant miss stop best fish sandwich pittsburgh,non-sarcastic,very positive
